rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Weak Security Headers,MEDIUM,Site-Wide Security,Medium,2-5 days,6,10,yes,trust,"Three of six standard security headers are absent, which weakens protection against XSS, clickjacking and downgrade attacks.","3 of 6 standard security headers are absent, which weakens protection against XSS, clickjacking and downgrade attacks.",notes: Add the missing headers at the CDN or web-server layer; HSTS and X-Content-Type-Options are one-line changes.,"Measured on the live origin: missing X-Frame-Options, Referrer-Policy, Permissions-Policy.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_1_missing_security_headers.html
2,Slow Script Load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 33 inline and 32 external <script> tags, 403 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_heavy_third_party_script_load.html
3,No Responsive Viewport,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Mobile browsers render the desktop layout scaled down, making every tap target too small and hindering interaction.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_3_no_responsive_viewport_declared.html
4,Unusable Coverage Forms,URGENT,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"Critical coverage and qualification forms are unusable because they lack visible input fields or labels, preventing user interaction.","Critical forms (coverage check, qualification) are unusable because they lack visible input fields or labels, preventing user interaction.","h1: Let's Get You the Right Internet; cta: CONTINUE; notes: Implement visible input fields (e.g., address/ZIP) and labeled answer options (e.g., radio buttons) for all forms to enable user interaction.",form: inputs=0 submit=CONTINUE labels=[] | form: inputs=0 submit=CONTINUE labels=[] | h1: What Best Describes Your Time on the Road? | h1: How Do You Use the Internet at Home? | form: inputs=0 submit=CONTINUE labels=[],Form & Interaction Friction,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_4_form_interaction_friction_unusable.html
5,Fragmented Plan Paths,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,Identical plan content across multiple URLs fragments the user journey and obscures the canonical next step.,Identical plan content across multiple URLs fragments the user journey and obscures the canonical next step.,h1: Let's Get You the Right Internet; cta: CHECK COVERAGE; notes: Consolidate to a single canonical plans URL and implement 301 redirects for duplicates to unify the funnel.,h1: Let's Get You the Right Internet | h1: What Best Describes Your Time on the Road? | h2: The Fastest Rural & On-the-Go Internet in the USA,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_path_ambiguity.html
6,Duplicate CONTINUE Buttons,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"Multiple identical 'CONTINUE' buttons on the same page create confusion, forcing users to guess the correct action.","Multiple identical 'CONTINUE' buttons on the same page, without distinguishing labels, create confusion and force users to guess the correct action.","h1: Let's Get You the Right Internet; cta: CONTINUE; notes: Consolidate duplicate 'CONTINUE' forms or clearly label each button with its specific purpose (e.g., 'Check Home Coverage').",form: inputs=0 submit=CONTINUE labels=[] | form: inputs=0 submit=CONTINUE labels=[],Form & Interaction Friction,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_6_form_interaction_friction_duplicate_continue.html
7,Missing Trust Signals,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"Key pages lack visible social proof, explicit guarantees, or security badges, undermining user confidence at critical decision points.","Key pages lack visible social proof (review context), explicit guarantees, or security badges, undermining user confidence at critical decision points.","h1: Let's Get You the Right Internet; cta: CHECK COVERAGE; notes: Enhance review context, add clear money-back guarantees on relevant pages, and display recognizable security badges near pricing and CTAs.","4.3 stars from 9,200+ Google reviews | SHOP WITH CONFIDENCE | CHECK COVERAGE | SEE WHAT I QUALIFY FOR",Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_7_trust_deficit.html
8,Inefficient Funnel Order,MEDIUM,Pricing & Plans,High,5+ days,4,10,no,conversion,"Requiring a coverage check before presenting plan options adds an unnecessary step, potentially increasing drop-off.","Requiring a coverage check before presenting plan options adds an unnecessary step, potentially increasing drop-off.","h1: Let's Get You the Right Internet; cta: SEE PLANS; notes: Reorder the funnel to present plan options first, then integrate coverage verification as a subsequent confirmation step.",ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE | ctas: CHECK COVERAGE | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_funnel_order_inefficiency.html
9,Confusing CTA Options,MEDIUM,All Crawled Pages,Medium,2-5 days,3,10,no,conversion,Multiple equally prominent calls to action on each page dilute user focus and create ambiguity about the intended next step.,Multiple equally prominent calls to action on each page dilute user focus and create ambiguity about the intended next step.,h1: Let's Get You the Right Internet; cta: CHECK COVERAGE; notes: Designate one clear primary CTA per page and visually demote secondary actions to improve focus.,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE | ctas: CHECK COVERAGE | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_cta_clutter.html
10,Inaccessible Controls,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"Five interactive controls lack accessible names, making them unusable for screen reader and voice control users.","5 of 46 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 5 of 46 <button> elements contain no text content and no aria-label.,Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_10_controls_without_accessible_names.html
